Tag #,COMMON NAME,BOTANICAL NAME,Latitude,Longitude,Height,Diameter,Crown height,Crown Spread,Last Update,Contributors,Notes,Last Inspection,Health,Expert Notes
1,Chinese Elm,Ulmus parvifolia,37.31641222,-122.046337,31'-45',"8""",,,,,,06/28/2022,60% - Fair,"Crown clean, crown raise, and clearance pruning"
2,Liquidambar,Liquidambar styraciflua,37.31634238,-122.0463653,31'-45',"16""",,,,,,06/28/2022,40% - Poor,Crown Clean  /  Crown Restoration
3,Coast Live Oak,Quercus agrifolia,37.31620955,-122.0460876,31'-45',"38""",,,,,,07/01/2022,40% - Poor,"Crown clean, crown thin, end-weight reduction, and clearance"
7,Coast Live Oak,Quercus agrifolia,37.3174627,-122.0460726,31'-45',"25""",,,,,,06/28/2022,40% - Poor,Clearance Pruning  /  Crown Clean
13,Coast Redwood,Sequoia sempervirens,37.3189978,-122.0478636,46'-60',"17""",,,,,,06/30/2022,40% - Poor,Crown Clean  /  Remove dead top
16,Coast Redwood,Sequoia sempervirens,37.31852626,-122.0473111,46'-60',"13""",,,,,,06/29/2022,40% - Poor,Crown Clean  /  Remove dead top
17,Coast Redwood,Sequoia sempervirens,37.31856379,-122.0470221,46'-60',"13""",,,,,,06/29/2022,40% - Poor,Crown Clean  /  Remove dead top
20,Deodar Cedar,Cedrus deodara,37.31976195,-122.047973,31'-45',"17""",,,,,,04/04/2022,40% - Poor,"Crown clean, crown raise, and structural pruning"
22,Coast Redwood,Sequoia sempervirens,37.32004005,-122.0477254,46'-60',"24""",,,,,,06/30/2022,40% - Poor,Crown Clean  /  Remove dead top
24,Coast Redwood,Sequoia sempervirens,37.31948848,-122.0456938,46'-60',"23""",,,,,,06/16/2022,40% - Poor,Crown Clean  /  Remove dead top
25,Coast Redwood,Sequoia sempervirens,37.31947607,-122.0456401,46'-60',"15""",,,,,,06/16/2022,40% - Poor,Crown Clean  /  Remove dead top
